k	wssse
2	13.723215489229524
3	6.69500468372374
4	4.971625733050565
5	3.0133509999104486
6	2.5144555712523506
7	2.3038229617228723
8	1.4891875980230063
9	1.3916868305041183
10	1.050208339795883
