k	wssse
2	13.723215489229524
3	6.695004683723742
4	4.971625733050565
5	3.013350999910449
6	2.514455571252351
7	2.3038229617228723
8	1.4891875980230063
9	1.3916868305041186
10	1.0502083397958828
