genre	avg_tempo	tempo_std
Electronic	127.51200274277363	23.64202278040718
Rock	126.87798525567938	29.83951285813261
Pop	122.05540630304529	28.72890771923164
Country	121.62865902253813	30.100507261165063
Blues	120.22778642901814	31.78777003469476
Folk	119.17653352010741	30.57213199140137
Hip-Hop	117.2734444389825	31.16983831918959
Classical	114.96912681472938	30.77368631508425
R&B	114.87579484267248	28.86462675978908
Jazz	113.90231837197136	29.713553196429416
