year,song_joy,song_sadness,song_anger,song_love,song_fear,chunk_joy,chunk_sadness,chunk_anger,chunk_love,chunk_fear
1990,0.5927434283598667,0.19585338763420956,0.17289892632358386,0.025175860792299148,0.013328396890040726,0.4737939663561796,0.20631169192270263,0.2388433198943417,0.04372306409008758,0.03732795773668845
1991,0.5719757421002234,0.22151292690711777,0.16501755505904883,0.027130545802744974,0.014363230130864985,0.4540476634932487,0.21915251073361958,0.23346400348453736,0.04953020969448074,0.04380561259411362
1992,0.5640875912408759,0.2110948905109489,0.17868613138686132,0.025693430656934305,0.020437956204379562,0.44477252843394577,0.2215660542432196,0.24901574803149606,0.046205161854768154,0.03844050743657043
1993,0.5858259229318243,0.185125303152789,0.1883589329021827,0.026138507140932365,0.014551333872271624,0.4579227830283531,0.20359943695958174,0.2540217172732757,0.047858435551980695,0.03659762718680877
1994,0.5651317409505048,0.20019699581383896,0.197734548140852,0.023147008126077322,0.013789706968726915,0.45348837209302323,0.21471934248622396,0.25296534977117774,0.043522928925002334,0.035304006724572706
1995,0.5722148833113166,0.1974900924702774,0.1919859092910612,0.023117569352708058,0.015191545574636724,0.4410324508257947,0.2136276869449747,0.261515478462943,0.04282513071624201,0.04099925305004565
1996,0.5608864027538726,0.2063253012048193,0.1949225473321859,0.023666092943201378,0.014199655765920827,0.4428348012182073,0.21289818092024035,0.2617087826158532,0.04366614536175817,0.038892089883941064
1997,0.5933587370713119,0.19506441662130286,0.16966067864271456,0.024133551079658862,0.017782616585011794,0.46072027087109685,0.20756523820924108,0.24217654502547967,0.04593180341324943,0.043606142480933
1998,0.5801704105344694,0.21746707978311386,0.16556932610379552,0.022463206816421378,0.014329976762199844,0.44953072746233236,0.22650940343054407,0.24251141716710417,0.043978568089467436,0.03746988385055198
1999,0.5838457703174339,0.2085757021771647,0.16702675752035898,0.02426458367957454,0.01628718630546784,0.4527583624563155,0.2166749875187219,0.24241762356465302,0.04880179730404394,0.0393472291562656
2000,0.558024125820736,0.2201099404489235,0.18552450755840585,0.01985035883340968,0.016491067338524967,0.44424694161052775,0.22332591452940387,0.2513331441289378,0.04155526013114852,0.039538739599982074
2001,0.5655413965273121,0.22766226991579105,0.17177136895446754,0.02034428794992175,0.014680676652507638,0.4483488629981134,0.2294886011780463,0.24079381309676398,0.04200930339732419,0.03935941932975215
2002,0.5673856298942163,0.23341118285478774,0.16149196318175574,0.020263772496222007,0.01744745157301827,0.45059068986072726,0.23859264076301956,0.22669755595296157,0.04241857692516122,0.04170053649813039
2003,0.5484159427695452,0.24214358712314768,0.17086101175268267,0.02063106796116505,0.017948390393459378,0.4394129819349761,0.2412689949346841,0.23424864480582955,0.04218557590991608,0.042883802414594205
2004,0.5567375886524822,0.24183130699088146,0.16400709219858156,0.02254305977710233,0.01488095238095238,0.44678148656200783,0.2431158868058731,0.2284204643601077,0.04196514758929025,0.03971701468272113
2005,0.5634407403277958,0.2401605530159438,0.15949381201917717,0.019734641543092877,0.017170253093990413,0.4457431088693102,0.24616974235337252,0.22716010976924017,0.04065239370271201,0.04027464530536514
2006,0.5596340449126698,0.2388688660937067,0.16767396728583311,0.01613529248683116,0.017687829220959246,0.4427524278738489,0.2437814749675009,0.23512961405271954,0.03823423384057417,0.04010224926535651
2007,0.5542841194529724,0.2479486463857103,0.1610940552609545,0.018978509628802678,0.017694669271560146,0.44474190305520345,0.24731194545216137,0.22699855762926702,0.04077975435989335,0.0401678395034748
2008,0.5553252283041067,0.24399126001456664,0.16673202980559135,0.01686368984256821,0.017087792033167123,0.44531050486881407,0.2483039650022762,0.22571977393602255,0.038350932125290074,0.04231482406759712
2009,0.5611418356516396,0.2428914585777331,0.16027037595665047,0.01854644991899894,0.017149879894977935,0.45170902716914985,0.24492769500438213,0.224079754601227,0.03880368098159509,0.040479842243645925
2010,0.5603136989392914,0.24740464906341683,0.15871135183931392,0.017546829158203565,0.016023470999774317,0.45064094818590245,0.2489976602919692,0.22516119819414085,0.03639179674198403,0.03880839658600349
2011,0.5594478092431932,0.2450482894090686,0.1635292191848093,0.01713319146614285,0.014841490696786162,0.45159667283996874,0.2497832207508591,0.2230631710789719,0.03655808078104761,0.03899885454915269
2012,0.5669510114550329,0.23670485010967585,0.16115037777236169,0.018523031927857665,0.0166707287350719,0.45585839418856494,0.24321967301094435,0.2255381135836544,0.03718398405305426,0.03819983516378203
2013,0.560087782071466,0.2430227565478746,0.1612995563188779,0.019130766661895903,0.0164591383998855,0.4484650735294118,0.2465533088235294,0.22824448529411764,0.036176470588235296,0.04056066176470588
2014,0.5647151240700522,0.23783558985259462,0.16279284691095605,0.017235802412088167,0.017420636754308952,0.45646969105806406,0.24249813783563295,0.22472776930443727,0.03634767495477601,0.0399567268470897
2015,0.5595956759792222,0.24240722542000093,0.16322710468435583,0.01825073704899621,0.016519256867424774,0.45330351151867593,0.24441959293222992,0.22448669201520913,0.03647506150749273,0.041315142026392304
2016,0.5644317411103575,0.239027226043988,0.16384071310919485,0.015744598391628718,0.016955721344830928,0.4571614270324172,0.24160189463749923,0.22854955171523456,0.03304041240417746,0.039646714210671584
2017,0.5685224426892699,0.23494509728376037,0.1622423425158929,0.015334232325178193,0.01895588518589867,0.4586034450824227,0.239351594602567,0.22824528547810638,0.03443024428392089,0.039369430552983066
2018,0.570775939641448,0.23146674049975774,0.16335571398906348,0.01526268429431716,0.01913892157541358,0.46510559873078733,0.23670696575869452,0.22459934511490312,0.0334062971556038,0.04018179324001121
2019,0.5603395377377787,0.23713097429603872,0.16710983841276333,0.01656780527715279,0.018851844276266447,0.45509070321530515,0.24305866811351465,0.22735958104314596,0.033627420914816825,0.04086362671321743
2020,0.5512629416267172,0.24078475607299682,0.17516013374692826,0.013132981509084317,0.019659187044273455,0.4487850645200767,0.24438763716465198,0.23730334634159608,0.029098622574548223,0.04042532939912704
2021,0.5641684125160505,0.24396837196729065,0.156991282016625,0.015949178887612353,0.018922754612421436,0.4642063759755289,0.2507472754975052,0.2117959036508915,0.03218227706765606,0.041068167808418335
2022,0.5922354732301446,0.2231920832276072,0.14975894443034762,0.016341030195381884,0.01847246891651865,0.4860981912144703,0.22971178692108923,0.20677400119260583,0.037471675611210495,0.03994434506062413
