year,tieaware_joy,tieaware_sadness,tieaware_anger,tieaware_love,tieaware_fear
1990,0.5219054671109465,0.21094039244724178,0.2106935702826114,0.03332099222510181,0.02313957793409848
1991,0.5001436323013086,0.23099265879348868,0.2054846260240451,0.03849877646558144,0.024880306415576127
1992,0.48942579075425796,0.2274549878345499,0.21750364963503654,0.03677372262773723,0.028841849148418496
1993,0.5109135004042037,0.2005748675110033,0.22826282224018682,0.036737626875056134,0.023511182969549984
1994,0.4928671099072478,0.2135639825987031,0.2376959697939752,0.034626118361651484,0.02124681933842239
1995,0.4945215030089535,0.21312931161015705,0.23177014531043594,0.035766182298546896,0.02481285777190665
1996,0.48414730349971313,0.22055722891566268,0.23669320137693634,0.03440189328743546,0.024200372920252438
1997,0.5140174197060424,0.21057884231536927,0.21159196757999152,0.036321296800338715,0.027490473598258028
1998,0.5009908339788278,0.23317518719339012,0.20969532662019105,0.03208752904725019,0.02405112316034082
1999,0.5067143094565398,0.22584344357653316,0.20476427898731372,0.036601850313002046,0.02607611766661127
2000,0.48215630885122407,0.23349239069578048,0.22772815188069423,0.029714460222934794,0.02690868834936631
2001,0.4888864048488462,0.24096057828452197,0.21351193581240532,0.030500285664604915,0.026140795389621684
2002,0.4914434217154371,0.24658950405275448,0.2033715711865183,0.03032811283601227,0.02826739020927783
2003,0.4730412195537388,0.25499382558337597,0.21148015670243572,0.031197836825072392,0.029286961335377282
2004,0.48270643363728466,0.2564156957109085,0.20377828436339074,0.03216713103681189,0.024932455251604188
2005,0.4860751848961237,0.2555357341955625,0.20109358159586724,0.03042238079310217,0.02687311851934441
2006,0.48155715737917015,0.2560142315867295,0.20802421218002035,0.026109416874595694,0.028294981979484338
2007,0.4789617638850126,0.2614438552423481,0.20368964554842311,0.02806865754953949,0.027836077774676716
2008,0.4815050329616972,0.25784170915270693,0.20675574728742974,0.026465534950604143,0.027431975647561953
2009,0.4854291194160476,0.25569335046459235,0.20190678360613007,0.028299163920078956,0.028671582593151227
2010,0.48819867599488453,0.26100673286692244,0.1993953584593395,0.02561968705333634,0.02577954562551719
2011,0.4842663829322857,0.2594841854458813,0.20577472217675197,0.02548062057801786,0.024994088867063165
2012,0.49370948086765776,0.24977821106507428,0.20252823137541634,0.02735965553659923,0.02662442115525225
2013,0.48702033936039946,0.25638169298538555,0.2019234133231557,0.027452570647074723,0.027221983683984544
2014,0.4930148021502395,0.2534386889083992,0.1995402245737258,0.026080895830445296,0.02792538853719021
2015,0.4919860545650242,0.25375933985368215,0.2001185517962157,0.027177219336421924,0.02695883444865616
2016,0.49634725317314227,0.2527339082130285,0.1998037980815813,0.02373074314504409,0.027384297387204087
2017,0.502198035060682,0.2479759840750016,0.19883002632761831,0.02296474667694086,0.02803120785975727
2018,0.5089591841443437,0.24346577144043746,0.1971730001615099,0.022373157056828408,0.028028887196880552
2019,0.49856650985204887,0.24977102793118336,0.20031192472898343,0.023571623372196086,0.027778914115588284
2020,0.48901959204501205,0.2531899179524366,0.21026601673179446,0.019351005116222862,0.028173468154534108
2021,0.5044930278660089,0.2551463134419139,0.18975017458493837,0.022734338041494898,0.02787614606564394
2022,0.5372739575403874,0.23400490569229468,0.18127294256956777,0.02199018861541064,0.025458005582339505
